Show Id,Show Title,Show Link,Episode Id,Episode Title,Episode Link,Highlights,Publish Date,Relevance,Listeners
2272733,Barstool Yak (YouTube),https://app.podscribe.com/series/2272733,146172576,Oldie Tries His Hand at Being Gauntlet Goalie. Presented by @DrinkBODYARMOR,https://app.podscribe.com/episode/146172576,"{""title"":[""Oldie Tries His Hand at Being <em>Gauntlet</em> Goalie. Presented by @DrinkBODYARMOR""],""transcript"":[]}",12/23/2025,9.000507,
1298078,The Yak,https://app.podscribe.com/series/1298078,144637782,Did Nicky Smokes Ruin A Coworker's Christmas? | The Yak 12-19-25,https://app.podscribe.com/episode/144637782,"{""transcript"":[{""phrase"":""(1h 18m 27s):  Alright, so let's do Body Armor <em>gauntlet</em> then. Okay."",""startTime"":4706.605,""term"":""gauntlet"",""ts"":4706.605,""context"":"" Alright, so let's do Body Armor <em>gauntlet</em> then. Okay.""},{""phrase"":""(1h 18m 29s):  Get up there. Body Armor <em>gauntlet</em> is brought to you."",""startTime"":4708.865,""term"":""gauntlet"",""ts"":4708.865,""context"":"" Get up there. Body Armor <em>gauntlet</em> is brought to you.""},{""phrase"":""(1h 18m 5s):  Okay, because we, we owe a body Gar Armor <em>gauntlet</em> today,"",""startTime"":4684.835,""term"":""gauntlet"",""ts"":4684.835,""context"":"" Okay, because we, we owe a body Gar Armor <em>gauntlet</em> today,""},{""phrase"":""(1h 17m 3s):  Oh, Okay. We're gonna do a double up. Have you done the <em>gauntlet</em> yet?"",""startTime"":4623.185,""term"":""gauntlet"",""ts"":4623.185,""context"":"" Oh, Okay. We're gonna do a double up. Have you done the <em>gauntlet</em> yet?""},{""phrase"":""(1h 17m 7s):  No. No, I have not. Okay. I'm gonna say right now you're gonna do the <em>gauntlet</em>."",""startTime"":4627.265,""term"":""gauntlet"",""ts"":4627.265,""context"":"" No. No, I have not. Okay. I'm gonna say right now you're gonna do the <em>gauntlet</em>.""}]}",12/19/2025,13.237477,53200
2272733,Barstool Yak (YouTube),https://app.podscribe.com/series/2272733,144565747,Did Nicky Smokes Ruin A Coworker's Christmas? | The Yak 12-19-25,https://app.podscribe.com/episode/144565747,"{""transcript"":[{""phrase"":""(1h 21m 16s):  All right, so let's do Body Armor <em>gauntlet</em> then. Okay."",""startTime"":4875.765,""term"":""gauntlet"",""ts"":4875.765,""context"":"" All right, so let's do Body Armor <em>gauntlet</em> then. Okay.""},{""phrase"":""(1h 21m 18s):  Get up there. Body Armor <em>gauntlet</em> is brought to you."",""startTime"":4877.745,""term"":""gauntlet"",""ts"":4877.745,""context"":"" Get up there. Body Armor <em>gauntlet</em> is brought to you.""},{""phrase"":""(1h 20m 54s):  Yeah. Yeah. Okay. Because we, we owe a body Gar Armor <em>gauntlet</em> today,"",""startTime"":4853.525,""term"":""gauntlet"",""ts"":4853.525,""context"":"" Yeah. Yeah. Okay. Because we, we owe a body Gar Armor <em>gauntlet</em> today,""},{""phrase"":""(1h 19m 52s):  Oh, okay. We're gonna do a double up. Have you done the <em>gauntlet</em> yet?"",""startTime"":4792.305,""term"":""gauntlet"",""ts"":4792.305,""context"":"" Oh, okay. We're gonna do a double up. Have you done the <em>gauntlet</em> yet?""},{""phrase"":""(1h 19m 57s):  No. No, I'm not. Okay. I'm gonna say right now you're gonna do the <em>gauntlet</em>."",""startTime"":4796.545,""term"":""gauntlet"",""ts"":4796.545,""context"":"" No. No, I'm not. Okay. I'm gonna say right now you're gonna do the <em>gauntlet</em>.""}]}",12/19/2025,13.09049,
1298078,The Yak,https://app.podscribe.com/series/1298078,143514210,The Time is Here to Crown Our Yak Guest of the Year | The Yak 12-16-25,https://app.podscribe.com/episode/143514210,"{""transcript"":[{""phrase"":""(31m 58s):  That rugby lady who did great on the <em>gauntlet</em>. Yeah."",""startTime"":1917.565,""term"":""gauntlet"",""ts"":1917.565,""context"":"" That rugby lady who did great on the <em>gauntlet</em>. Yeah.""},{""phrase"":""(30m 37s):  I'm talking about that at all. Are you saying the Yak <em>gauntlet</em> is meaningless?"",""startTime"":1836.665,""term"":""gauntlet"",""ts"":1836.665,""context"":"" I'm talking about that at all. Are you saying the Yak <em>gauntlet</em> is meaningless?""},{""phrase"":""(1h 35m 29s):  No, he, yes he has to. No, we don't have to be nice like But he has to run the <em>gauntlet</em>,"",""startTime"":5729.085,""term"":""gauntlet"",""ts"":5729.085,""context"":"" No, he, yes he has to. No, we don't have to be nice like But he has to run the <em>gauntlet</em>,""}]}",12/16/2025,12.585167,53200
1298078,The Yak,https://app.podscribe.com/series/1298078,143459441,Barstool Greg Might Be Off to the Worst Start in Company History | The Yak 12-15-25,https://app.podscribe.com/episode/143459441,"{""transcript"":[{""phrase"":""(53m 39s):  Really? Yeah. Huge. He wants to do the <em>gauntlet</em>. Oh,"",""startTime"":3219.405,""term"":""gauntlet"",""ts"":3219.405,""context"":"" Really? Yeah. Huge. He wants to do the <em>gauntlet</em>. Oh,""},{""phrase"":""(53m 45s):  he was, he was, he wanted to come in and, and, and do the <em>gauntlet</em>."",""startTime"":3225.385,""term"":""gauntlet"",""ts"":3225.385,""context"":"" he was, he was, he wanted to come in and, and, and do the <em>gauntlet</em>.""}]}",12/15/2025,13.089939,53200
2272733,Barstool Yak (YouTube),https://app.podscribe.com/series/2272733,142868443,UFC Hall of Famer Clay Guida Takes On The Yak Gauntlet. Presented by @DrinkBODYARMOR,https://app.podscribe.com/episode/142868443,"{""title"":[""UFC Hall of Famer Clay Guida Takes On The Yak <em>Gauntlet</em>. Presented by @DrinkBODYARMOR""],""transcript"":[]}",12/4/2025,7.888711,
1298078,The Yak,https://app.podscribe.com/series/1298078,141993778,A Deep Dive Into Post-Avatar Depression Syndrome | The Yak 12-2-25,https://app.podscribe.com/episode/141993778,"{""transcript"":[{""phrase"":""(28m 30s):  Yesterday. He has The longest unofficial <em>gauntlet</em> time of like 17 minutes."",""startTime"":1710.205,""term"":""gauntlet"",""ts"":1710.205,""context"":"" Yesterday. He has The longest unofficial <em>gauntlet</em> time of like 17 minutes.""},{""phrase"":""(33m 50s):  So Goldfinger really has the worst <em>gauntlet</em> time. Not JDLI think it was unofficial Unfilmed."",""startTime"":2029.505,""term"":""gauntlet"",""ts"":2029.505,""context"":"" So Goldfinger really has the worst <em>gauntlet</em> time. Not JDLI think it was unofficial Unfilmed.""},{""phrase"":""(29m 2s):  He had A lot of trouble when he did the <em>gauntlet</em> with the baseball side As well."",""startTime"":1741.785,""term"":""gauntlet"",""ts"":1741.785,""context"":"" He had A lot of trouble when he did the <em>gauntlet</em> with the baseball side As well.""},{""phrase"":""(36m 58s):  So Yeah. No, usually like, I'm like, all right, like with <em>gauntlet</em> stuff that was pretty unfazed by,"",""startTime"":2217.825,""term"":""gauntlet"",""ts"":2217.825,""context"":"" So Yeah. No, usually like, I'm like, all right, like with <em>gauntlet</em> stuff that was pretty unfazed by,""}]}",12/2/2025,12.42534,53200
2272733,Barstool Yak (YouTube),https://app.podscribe.com/series/2272733,143504353,The Yak with Big Cat & Co. Presented by Rhoback | The Yak 12-16-25,https://app.podscribe.com/episode/143504353,"{""transcript"":[{""phrase"":""(1h 36m 47s):  Like He has to run the <em>gauntlet</em>, right? He has to come in."",""startTime"":5806.675,""term"":""gauntlet"",""ts"":5806.675,""context"":"" Like He has to run the <em>gauntlet</em>, right? He has to come in.""},{""phrase"":""(33m 35s):  Women's soccer players. That's right. That rugby lady who did great on the <em>gauntlet</em>."",""startTime"":2014.795,""term"":""gauntlet"",""ts"":2014.795,""context"":"" Women's soccer players. That's right. That rugby lady who did great on the <em>gauntlet</em>.""},{""phrase"":""(32m 16s):  Not, Not talking about that at all. Are you saying the Yak <em>gauntlet</em> is meaningless?"",""startTime"":1935.505,""term"":""gauntlet"",""ts"":1935.505,""context"":"" Not, Not talking about that at all. Are you saying the Yak <em>gauntlet</em> is meaningless?""}]}",12/1/2025,12.728213,
2272733,Barstool Yak (YouTube),https://app.podscribe.com/series/2272733,143447010,The Yak with Big Cat & Co. Presented by Rhoback | The Yak 12-15-25,https://app.podscribe.com/episode/143447010,"{""transcript"":[{""phrase"":""(54m 48s):  Really? Yeah. Huge. He wants to do the <em>gauntlet</em>. Oh,"",""startTime"":3288.425,""term"":""gauntlet"",""ts"":3288.425,""context"":"" Really? Yeah. Huge. He wants to do the <em>gauntlet</em>. Oh,""},{""phrase"":""(54m 54s):  he was, he was, he wanted to come in and, and, and do the <em>gauntlet</em>."",""startTime"":3294.125,""term"":""gauntlet"",""ts"":3294.125,""context"":"" he was, he was, he wanted to come in and, and, and do the <em>gauntlet</em>.""}]}",12/1/2025,13.092221,
2272733,Barstool Yak (YouTube),https://app.podscribe.com/series/2272733,141585631,The Post Case Race Vibes Are at an All Time High | Best of The Yak 11-21-25,https://app.podscribe.com/episode/141585631,"{""transcript"":[{""phrase"":""(21m 28s):  Oh yeah. A Jared Subway <em>gauntlet</em> time that we could then use to mock other people would be electric."",""startTime"":1287.705,""term"":""gauntlet"",""ts"":1287.705,""context"":"" Oh yeah. A Jared Subway <em>gauntlet</em> time that we could then use to mock other people would be electric.""}]}",11/21/2025,11.7011,
